ACCESSION_NUMBER	REPORTCALENDARORQUARTER	ISAMENDMENT	AMENDMENTNO	AMENDMENTTYPE	CONFDENIEDEXPIRED	DATEDENIEDEXPIRED	DATEREPORTED	REASONFORNONCONFIDENTIALITY	FILINGMANAGER_NAME	FILINGMANAGER_STREET1	FILINGMANAGER_STREET2	FILINGMANAGER_CITY	FILINGMANAGER_STATEORCOUNTRY	FILINGMANAGER_ZIPCODE	REPORTTYPE	FORM13FFILENUMBER	CRDNUMBER	SECFILENUMBER	PROVIDEINFOFORINSTRUCTION5	ADDITIONALINFORMATION
0000051762-23-000005	30-SEP-2023								RNC CAPITAL MANAGEMENT LLC	11601 WILSHIRE BLVD. 25TH FL		LOS ANGELES	CA	90025	13F HOLDINGS REPORT	028-00970			N	
0001214659-23-016755	30-SEP-2023	Y	1	RESTATEMENT	N				MayTech Global Investments, LLC	950 THIRD AVENUE	18TH FLOOR	NEW YORK	NY	10022	13F HOLDINGS REPORT	028-18381			N	
0001398344-23-023299	31-MAR-2019	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-023286	31-MAR-2017	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-023293	30-JUN-2018	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-023296	31-DEC-2018	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-023281	31-DEC-2016	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-023285	30-SEP-2017	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-023283	30-JUN-2017	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-023302	30-SEP-2019	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-023298	30-JUN-2019	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-023292	31-MAR-2018	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
0001398344-23-023291	31-DEC-2017	N							WEST PACES ADVISORS INC.	3284 NORTHSIDE PARKWAY, SUITE 485		ATLANTA	GA	30327	13F HOLDINGS REPORT	028-23479	000175512	801-96230	N	
