ACCESSION_NUMBER	OTHERINCLUDEDMANAGERSCOUNT	TABLEENTRYTOTAL	TABLEVALUETOTAL	ISCONFIDENTIALOMITTED
0000051762-23-000005	0	149	1611876095	N
0001214659-23-016755	0	28	429611407	
0001398344-23-023299	0	472	142784489	
0001398344-23-023285	0	476	132646655	
0001398344-23-023298	0	469	160161167	
0001398344-23-023281	0	554	107142392	
0001398344-23-023303	0	475	183817738	
0001398344-23-023283	0	509	125985583	
0001398344-23-023296	0	482	129656986	
0001398344-23-023293	0	484	133746909	
0001398344-23-023292	0	450	134362450	
0001398344-23-023286	0	516	125401869	
0001398344-23-023302	0	487	167369301	
0001398344-23-023291	0	467	135113315	
0001398344-23-023072	0	455	157563706	
0000950123-23-011244	10	45	10854133355	N
0001398344-23-023070	0	478	138943853	
0001766806-23-000106	0	545	2804230	N
0001766806-23-000105	0	545	2804230	N
0001661245-23-000005	1	221	293021509	N
0001661245-23-000004	1	180	306408087	N
0001661245-23-000003	1	216	293577380	N
0001661245-23-000002	1	214	199933498	N
0001974403-23-000006	0	60	88217227	
0001398344-23-022982	0	413	195572748	
0001398344-23-022983	0	582	320474522	
0001398344-23-022984	0	618	271993333	
0001398344-23-022980	0	433	248810986	
0001398344-23-022979	0	414	224605953	
0001398344-23-022987	0	437	184930899	
0001398344-23-022988	0	574	284987292	
0001007280-23-000013	0	1980	22395099000	N
0001007280-23-000012	0	1989	24803280000	N
0001007280-23-000011	0	2003	24024359000	N
0001007280-23-000010	0	1979	23054940000	N
0001398344-23-022881	0	526	281325706	
0001398344-23-022880	0	577	320617599	
0001398344-23-022879	0	585	293768978	
0001398344-23-022864	0	521	319279458	
0001398344-23-022863	0	557	321876933	
0001398344-23-022861	0	549	339400820	
0001398344-23-022860	0	542	314242850	
0001540656-23-000021	0	381	2396576270	N
0001540656-23-000019	0	362	2047045453	N
0001540656-23-000017	0	367	1717776716	N
0001540656-23-000015	0	346	1392778652	N
0001104659-23-126756	5	16217	4070994384596	
