State,Abbreviation,Region,2022_MM,2023_MM,2023_Q4_Seasonally_Adjusted_MM,2024_Q1_Seasonall_Adjusted_MM,2024_Q2_Seasonall_Adjusted_MM,2023_Percent_Change_From_Preceding_Period,2024_Q1_Percent_Change_From_Preceding_Period,2024_Q2_Percent_Change_From_Preceding_Period
Connecticut,CT,New England,321686,345912,355246,358594,363417,7.5,3.8,5.5
Maine ,ME,New England,86493,93270,95468,96860,97872,7.8,6,4.2
Massachusetts ,MA,New England,695612,736296,749677,767359,776147,5.8,9.8,4.7
New Hampshire ,NH,New England,106488,114101,116529,118760,120163,7.1,7.9,4.8
Rhode Island ,RI,New England,72869,77574,79122,80839,81911,6.5,9,5.4
Vermont ,VT,New England,41012,43534,44598,44771,45432,6.1,1.6,6
Delaware ,DE,Mideast,92558,98069,100184,100918,102401,6,3,6
District of Columbia ,DC,Mideast,165768,176502,180537,182190,184916,6.5,3.7,6.1
Maryland ,MD,Mideast,484908,515607,525753,532514,539232,6.3,5.2,5.1
New Jersey,NJ,Mideast,758289,806665,822849,831387,841417,6.4,4.2,4.9
New York,NY,Mideast,2052759,2172010,2207141,2245849,2284364,5.8,7.2,7
Pennsylvania ,PA,Mideast,919741,976361,996679,1003022,1017257,6.2,2.6,5.8
Illinois ,IL,Greak Lakes,1040353,1098346,1114360,1118331,1132143,5.6,1.4,5
Indiana,IN,Greak Lakes,473493,499503,509281,518820,523832,5.5,7.7,3.9
Michigan ,MI,Greak Lakes,627009,673818,685029,692313,703277,7.5,4.3,6.5
Ohio ,OH,Greak Lakes,832661,884834,902846,910255,922776,6.3,3.3,5.6
Wisconsin ,WI,Greak Lakes,400621,428447,439700,441681,448446,6.9,1.8,6.3
Iowa ,IA,Greak Lakes,242753,254032,259429,253922,255962,4.6,-8.2,3.3
Kansas,KS,Greak Lakes,212612,228232,232076,229855,234119,7.3,-3.8,7.6
Minnesota ,MN,Greak Lakes,454993,483162,492823,493022,497631,6.2,0.2,3.8
Missouri ,MS,Greak Lakes,400265,430114,438684,441374,448165,7.5,2.5,6.3
Nebraska,NE,Greak Lakes,167480,181285,183226,182083,185238,8.2,-2.5,7.1
North Dakota ,ND,Greak Lakes,73780,76043,77240,75126,75724,3.1,-10.5,3.2
South Dakota ,SD,Greak Lakes,69069,74034,74648,74170,74938,7.2,-2.5,4.2
Alabama ,AL,Southeast,284949,304936,311484,313790,318080,7,3,5.6
Arkansas,AR,Southeast,168606,178606,181277,184601,186197,5.9,7.5,3.5
Florida ,FL,Southeast,1465281,1600811,1642249,1670439,1695273,9.2,7,6.1
Georgia ,GA,Southeast,779684,831828,850703,865084,877746,6.7,6.9,6
Kentucky,KY,Southeast,261541,279707,284266,287273,291108,6.9,4.3,5.4
Louisiana ,LA,Southeast,298424,314989,322485,323052,326653,5.6,0.7,4.5
Mississippi ,MS,Southeast,142762,151147,153249,154262,156026,5.9,2.7,4.7
North Carolina ,NC,Southeast,728499,788103,808790,821284,832747,8.2,6.3,5.7
South Carolina ,SC,Southeast,301945,327420,336291,342495,348128,8.4,7.6,6.7
Tennessee ,TN,Southeast,488670,523032,534199,538672,545695,7,3.4,5.3
Virginia ,VA,Southeast,666682,719897,739546,748046,759236,8,4.7,6.1
West Virginia ,WV,Southeast,98290,102152,105001,105857,107351,3.9,3.3,5.8
Arizona ,AZ,Southwest,484052,522767,534000,541058,548806,8,5.4,5.9
New Mexico,NM,Southwest,128139,135010,138457,138243,140092,5.4,-0.6,5.5
Oklahoma,OK,Southwest,245976,256689,261956,261058,264596,4.4,-1.4,5.5
Texas,TX,Southwest,2436925,2583866,2647608,2658373,2694524,6,1.6,5.6
Colorado ,CO,Rocky Mountain,494673,529627,540997,542411,550173,7.1,1,5.8
Idaho ,ID,Rocky Mountain,112290,120958,123886,124946,127373,7.7,3.5,8
Montana ,MT,Rocky Mountain,68702,73255,74510,74811,75855,6.6,1.6,5.7
Utah ,UT,Rocky Mountain,261081,281329,287980,293548,298815,7.8,8,7.4
Wyoming ,WY,Rocky Mountain,49783,51991,53148,52101,52980,4.4,-7.6,6.9
Alaska ,AK,Far West,66272,68056,69440,69273,69794,2.7,-1,3
California ,CA,Far West,3660416,3870379,3936165,4027204,4080178,5.7,9.6,5.4
Hawaii ,HI,Far West,103153,110265,112302,113624,114936,6.9,4.8,4.7
Nevada,NV,Far West,227321,245979,252842,256403,259702,8.2,5.8,5.2
Oregon ,OR,Far West,298848,318884,323805,324646,329378,6.7,1,6
Washington,WA,Far West,742909,807865,831911,840340,850529,8.7,4.1,4.9
