ACCESSION_NUMBER,REPORTCALENDARORQUARTER,ISAMENDMENT,AMENDMENTNO,AMENDMENTTYPE,CONFDENIEDEXPIRED,DATEDENIEDEXPIRED,DATEREPORTED,REASONFORNONCONFIDENTIALITY,FILINGMANAGER_NAME,FILINGMANAGER_STREET1,FILINGMANAGER_STREET2,FILINGMANAGER_CITY,FILINGMANAGER_STATEORCOUNTRY,FILINGMANAGER_ZIPCODE,REPORTTYPE,FORM13FFILENUMBER,CRDNUMBER,SECFILENUMBER,PROVIDEINFOFORINSTRUCTION5,ADDITIONALINFORMATION,timestamp
0002035951-24-000001,30-JUN-2024,,,,,,,,Creekside Partners,775 BAYWOOD DRIVE SUITE 306,,PETALUMA,CA,94954,13F HOLDINGS REPORT,028-24359,125401.0,,N,,2023-10-01
0001754960-24-000464,30-JUN-2024,,,,,,,,"WEALTH MANAGEMENT CPAS, LLC",5296 COMMERCE DRIVE,SUITE 101,SALT LAKE CITY,UT,84107,13F NOTICE,028-24358,,,N,,2023-10-01
0001869164-24-000009,30-JUN-2024,,,,,,,,Gordian Capital Singapore Pte Ltd,#12-01 PHILIPPINE AIRLINES BUILDING,135 CECIL STREET,SINGAPORE,U0,069536,13F HOLDINGS REPORT,028-21947,,,N,,2023-10-01
0002023101-24-000022,31-MAR-2017,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002023101-24-000021,30-JUN-2017,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002023101-24-000020,30-SEP-2017,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002023101-24-000019,31-DEC-2017,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002023101-24-000018,31-MAR-2018,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002023101-24-000017,30-JUN-2018,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
0002023101-24-000016,30-SEP-2018,,,,,,,,Federation des caisses Desjardins du Quebec,100 RUE DES COMMANDEURS,,LEVIS,A8,G6V5C1,13F HOLDINGS REPORT,028-24160,,,Y,"DGAM oversees the assets belonging to the following Managers, DII (0002022299), DCMI (0002022316) and DTI (0002022283). All the assets associated with the Managers DII, DCMI and DTI have been consolidated and reported together with the assets managed by DGAM.",2023-10-01
