AL,ALABAMA
AK,ALASKA
AZ,ARIZONA
AR,ARKANSAS
CA,CALIFORNIA
CO,COLORADO
CT,CONNECTICUT
DE,DELAWARE
DC,DISTRICT OF COLUMBIA
FL,FLORIDA
GA,GEORGIA
GU,GUAM
HI,HAWAII
ID,IDAHO
IL,ILLINOIS
IN,INDIANA
IA,IOWA
KS,KANSAS
KY,KENTUCKY
LA,LOUISIANA
ME,MAINE
MD,MARYLAND
MA,MASSACHUSETTS
MI,MICHIGAN
MN,MINNESOTA
MS,MISSISSIPPI
MO,MISSOURI
MT,MONTANA
NE,NEBRASKA
NV,NEVADA
NH,NEW HAMPSHIRE
NJ,NEW JERSEY
NM,NEW MEXICO
NY,NEW YORK
NC,NORTH CAROLINA
ND,NORTH DAKOTA
OH,OHIO
OK,OKLAHOMA
OR,OREGON
PA,PENNSYLVANIA
RI,RHODE ISLAND
SC,SOUTH CAROLINA
SD,SOUTH DAKOTA
TN,TENNESSEE
TX,TEXAS
UT,UTAH
VT,VERMONT
VA,VIRGINIA
WA,WASHINGTON
WV,WEST VIRGINIA
WI,WISCONSIN
WY,WYOMING
PR,PUERTO RICO
VI,VIRGIN ISLANDS U.S.
A0,ALBERTA CANADA
A1,BRITISH COLUMBIA CANADA
Z4, CANADA (FEDERAL LEVEL)
A2, MANITOBA CANADA
A3, NEW BRUNSWIC CANADA
A4, NEWFOUNDLAND CANADA
A5, NOVA SCOTIA CANADA
A6, ONTARIO CANADA
A7, PRINCE EDWARD ISLAND CANADA
A8, QUEBEC CANADA
A9, SASKATCHEWAN CANADA
B0, YUKON CANADA
B2, AFGHANISTAN
Y6, ALAND ISLANDS
B3, ALBANIA
B4, ALGERIA
B5, AMERICAN SAMOA
B6, ANDORRA
B7, ANGOLA
1A, ANGUILLA
B8, ANTARCTICA
B9, ANTIGUA AND BARBUDA
C1, ARGENTINA
1B, ARMENIA
1C, ARUBA
C3, AUSTRALIA
C4, AUSTRIA
1D, AZERBAIJAN
C5, BAHAMAS
C6, BAHRAIN
C7, BANGLADESH
C8, BARBADOS
1F, BELARUS
C9, BELGIUM
D1, BELIZE
G6, BENIN
D0, BERMUDA
D2, BHUTAN
D3, BOLIVIA
1E, BOSNIA AND HERZEGOVINA
B1, BOTSWANA
D4, BOUVET ISLAND
D5, BRAZIL
D6, BRITISH INDIAN OCEAN TERRITORY
D9, BRUNEI DARUSSALAM
E0,BULGARIA
X2,BURKINA FASO
E2,BURUNDI
E3,CAMBODIA
E4,CAMEROON
E8,CAPE VERDE
E9,CAYMAN ISLANDS
F0,CENTRAL AFRICAN REPUBLIC
F2,CHAD
F3,CHILE
F4,CHINA
F6,CHRISTMAS ISLAND
F7,COCOS (KEELING) ISLANDS
F8,COLOMBIA
F9,COMOROS
G0,CONGO
Y3,CONGO THE DEMOCRATIC REPUBLIC OF THE
G1,COOK ISLANDS
G2,COSTA RICA
L7,COTE D'IVOIRE
1M,CROATIA
G3,CUBA
G4,CYPRUS
2N,CZECH REPUBLIC
G7,DENMARK
1G,DJIBOUTI
G9,DOMINICA
G8,DOMINICAN REPUBLIC
H1,ECUADOR
H2,EGYPT
H3,EL SALVADOR
H4,EQUATORIAL GUINEA
1J,ERITREA
1H,ESTONIA
H5,ETHIOPIA
H7,FALKLAND ISLANDS (MALVINAS)
H6,FAROE ISLANDS
H8,FIJI
H9,FINLAND
I0,FRANCE
I3,FRENCH GUIANA
I4,FRENCH POLYNESIA
2C,FRENCH SOUTHERN TERRITORIES
I5,GABON
I6,GAMBIA
2Q,GEORGIA
2M,GERMANY
J0,GHANA
J1,GIBRALTAR
J3,GREECE
J4,GREENLAND
J5,GRENADA
J6,GUADELOUPE
J8,GUATEMALA
Y7,GUERNSEY
J9,GUINEA
S0,GUINEA-BISSAU
K0,GUYANA
K1,HAITI
K4,HEARD ISLAND AND MCDONALD ISLANDS
X4,HOLY SEE (Vatican City STATE)
K2,HONDURAS
K3,HONG KONG
K5,HUNGARY
K6,ICELAND
K7,INDIA
