ACCESSION_NUMBER,OTHERINCLUDEDMANAGERSCOUNT,TABLEENTRYTOTAL,TABLEVALUETOTAL,ISCONFIDENTIALOMITTED,timestamp
0002035951-24-000001,0,162,180581026,N,2023-10-01
0001869164-24-000009,0,184,173294809,N,2023-10-01
0002023101-24-000022,6,2099,5306915187,N,2023-10-01
0002023101-24-000021,6,2577,6110780835,N,2023-10-01
0002023101-24-000020,6,2486,6318257619,N,2023-10-01
0002023101-24-000019,6,2543,6630898113,N,2023-10-01
0002023101-24-000018,6,2543,6417886492,N,2023-10-01
0002023101-24-000017,6,2560,6675399935,N,2023-10-01
0002023101-24-000016,6,2520,6843289505,N,2023-10-01
0002023101-24-000015,6,2488,5935328067,N,2023-10-01
0002023101-24-000014,6,2463,6539827261,N,2023-10-01
0002023101-24-000013,6,2681,6790308916,N,2023-10-01
0002023101-24-000012,6,2731,6874616263,N,2023-10-01
0002023101-24-000011,6,2784,7149149299,N,2023-10-01
0002023101-24-000010,6,2469,5736200972,N,2023-10-01
0002023101-24-000009,6,2344,6663590179,N,2023-10-01
0002023101-24-000008,6,2397,7119716809,N,2023-10-01
0002023101-24-000007,6,2932,8278311592,N,2023-10-01
0002023101-24-000006,6,3068,9066539211,N,2023-10-01
0002023101-24-000005,6,3145,9888539782,N,2023-10-01
0002023101-24-000004,6,3151,9633218834,N,2023-10-01
0002023101-24-000003,2,3097,10103229848,N,2023-10-01
0002035548-24-000001,0,219,223766880,N,2023-10-01
0002023709-24-000003,0,136,144538957,N,2023-10-01
0001420506-24-001962,0,14,314407400,N,2023-10-01
0002023709-24-000002,0,138,158073475,N,2023-10-01
0001994744-24-000015,0,330,204129548,N,2023-10-01
0001994744-24-000014,0,330,195384912,N,2023-10-01
0001172661-24-003913,0,49,180322540,,2023-10-01
0001218761-24-000003,0,36,1335136,N,2023-10-01
0001062993-24-015897,0,6688,309650950,N,2023-10-01
0001628280-24-038798,1,62,4030240261,N,2023-10-01
0001019231-24-000034,0,171,365284379,,2023-10-01
0001019231-24-000033,0,171,365284379,,2023-10-01
0001019231-24-000032,0,150,482159492,,2023-10-01
0001598180-24-000009,3,420,2102972262,N,2023-10-01
0001598180-24-000008,3,381,1926056975,N,2023-10-01
0001598180-24-000007,3,379,2004197387,N,2023-10-01
0001598180-24-000006,3,427,2054883562,,2023-10-01
0001019231-24-000031,0,98,258246135,,2023-10-01
0001172661-24-003818,0,92,120232933,,2023-10-01
0001019231-24-000030,0,171,512954091,,2023-10-01
0001994744-24-000013,0,329,167276925,N,2023-10-01
0001994744-24-000012,0,341,174764112,N,2023-10-01
0001085146-24-004359,0,9,81246140,,2023-10-01
0001085146-24-004358,0,5,66309430,N,2023-10-01
0001085146-24-004350,0,10,81800890,N,2023-10-01
0001994744-24-000011,0,329,167276925,N,2023-10-01
0001633046-24-000007,2,982,4511014915,N,2023-10-01
0001632966-24-000019,0,197,251049069,N,2023-10-01
0001632966-24-000018,0,204,262892155,N,2023-10-01
0001632966-24-000017,0,207,273877982,N,2023-10-01
0001632966-24-000016,0,208,272722145,N,2023-10-01
0001632966-24-000015,0,207,301773560,N,2023-10-01
0001632966-24-000014,0,207,288684471,N,2023-10-01
0001994744-24-000010,0,315,144647251,N,2023-10-01
0001632966-24-000013,0,212,263127237,N,2023-10-01
0001632966-24-000012,0,210,249436442,N,2023-10-01
0001632966-24-000011,0,209,280362047,N,2023-10-01
0001632966-24-000010,0,208,282304317,N,2023-10-01
0001632966-24-000009,0,206,293148709,N,2023-10-01
0001632966-24-000008,0,206,287878183,N,2023-10-01
0001994744-24-000009,0,320,148315981,N,2023-10-01
0001632966-24-000007,0,212,311803640,N,2023-10-01
0001632966-24-000006,0,211,335275002,N,2023-10-01
0001754960-24-000453,0,34,106817439,N,2023-10-01
0001754960-24-000452,0,35,103777917,N,2023-10-01
0001469751-24-000011,0,172,3748559445,N,2023-10-01
0001469751-24-000010,0,131,3549710135,N,2023-10-01
0001469751-24-000009,0,117,3189257361,N,2023-10-01
0001469751-24-000008,0,111,2821155834,N,2023-10-01
0001469751-24-000007,0,106,3069072650,N,2023-10-01
0002035533-24-000001,0,88,197826026,N,2023-10-01
0001962449-24-000005,2,269,1468458723,N,2023-10-01
0001994744-24-000008,0,313,153183998,N,2023-10-01
0000918504-24-000005,0,104,256087645,N,2023-10-01
0001728681-24-000006,0,68,570310,N,2023-10-01
0001632966-24-000005,0,208,331960742,N,2023-10-01
0001420506-24-001814,0,0,0,N,2023-10-01
0001903905-24-000013,0,29,15322685,,2023-10-01
0001903905-24-000012,0,28,15238895,,2023-10-01
0001903905-24-000011,0,18,10056064,,2023-10-01
0001903905-24-000010,0,20,10904049,,2023-10-01
